Address,ETH_Balance,WETH_Balance,Total_Balance
0xbAd9ADa0E9633ED27Fa183dBdEceef76712a6Ee1,1e-11,1552.050953380963,1552.050953380973
0xBa5E35E26Ae59c7aea6F029B68c6460De2d13eB6,678.6974087439389,0.0,678.6974087439389
0xba682b9A69297FDC66b4740499708011Fb209302,479.746206307976,0.0,479.746206307976
0xbA98A4d436e79639A1598aFc988eFB7A828d7F08,207.58103606521803,0.0,207.58103606521803
0xbA1333333333a1BA1108E8412f11850A5C319bA9,0.0,188.81474613265075,188.81474613265075
0xBabe4490Da9bCf0Bbf062C40112AEa2109d6bA7f,0.0,166.90559058876138,166.90559058876138
0xBA563907f6B9eE7989be6715fdf96eaBf5D6056f,96.269396645,0.0,96.269396645
0xbaDC0de76438f9524D42C219b390636196bfbdFc,4.9268548281493665,81.57346120214257,86.50031603029194
0xBa50434BC5fCC07406b1baD9AC72a4CDf776db15,70.66266490124242,0.0,70.66266490124242
0xbA2a013b29631d3277BBBCE80C970D06C1Bda0C3,0.0,52.12282126397692,52.12282126397692
0xba1ac896F3b7cB273daE94bF9A6291A432e826c7,19.5152267412,0.0,19.5152267412
0xBa69F2a24f0460D1c5b953F082b245ADC2704B1a,0.0,16.911537106428458,16.911537106428458
0xBA6FA3849581de294754DB5E5316Fa9B45893DCd,0.0,15.725269551539146,15.725269551539146
0xBA35Acd269E95f4f126D09c27E1cEAdaa9AdA58d,7.058195596,0.0,7.058195596
0xba08B91BB7BCBe59203e19194Def1950dEd66f5e,6.068064591978563,0.0,6.068064591978563
0xba9C84cdF926d5f75c7605fbce4fc75A32Ae5454,2.018392384709121,0.0,2.018392384709121
0xBAF930f4972F383A2976F02603Af8284d5756927,0.0,1.3995,1.3995
0xbA5d1278ee592676F5EA81B7AFd7a5A2AEf3Bd98,1.35,0.0,1.35
0xbaBbea65db89442dB01B13F3135bB663150037a6,0.0,1.2845546176105322,1.2845546176105322
0xBa3f0f23fe67c8490aECc34338ae0902B387eb2B,0.0,1.0835024957718995,1.0835024957718995
0xba5D7f5ae6D4Ff460E7bCFF7e6BEB099f580e2e2,1.074042371,0.0,1.074042371
0xbA6B736B342E43de0a693172e408f87891Ec7F52,1.069104225563463,0.0,1.069104225563463
0xbAde1ACB5F358BA53C9Ecc39215Df2DEe47206b5,1.06,0.0,1.06
0xBAFB93a325E089408Bd9D2E5B87aa5D0849F4E29,0.0,1.033241937023026,1.033241937023026
0xbAC07191f21f0925Acc787ad6ae3Ea2635dD357d,0.0,1.025,1.025
0xbA80774665318584AbFaE49e4075c436f696F666,0.966311126,0.0,0.966311126
0xBafbe2d8D6EeEF18C65937297D895bEae8C6A39c,0.907159833,0.0,0.907159833
0xba2387E95a3bE287E4e9E3CdFD5725Fe802414d1,0.889333678,0.0,0.889333678
0xbAfE2F08cECDC754035A74F9a2D99ae993AD3deB,0.868755407,0.0,0.868755407
