Address,ETH_Balance,WETH_Balance,Total_Balance
0x9FFDF407cDe9a93c47611799DA23924Af3EF764F,1582.7925729594633,0.0,1582.7925729594633
0x9F0491B32DBce587c50c4C43AB303b06478193A7,785.6126011839524,0.0,785.6126011839524
0x9f2EbE69A86c079f3d4C3B94a11932b676B72f74,0.0,354.7279749485253,354.7279749485253
0x9fDEEa19836A413C04e9672d3d09f482278e863c,94.4171003625,0.0,94.4171003625
0x9fFe7A53BDD7197A0e94ae724d741D0bcB0321F1,0.0,20.64751949741876,20.64751949741876
0x9fB79dAd6544a353C0C28068266aB703E8C3eBA3,17.876374764,0.0,17.876374764
0x9F32BF2E727bA15256337B217C36545582de2527,0.0,15.421227751995076,15.421227751995076
0x9f4F3e5Dab4474BFF22Cad2dB60E65a2DADF9853,11.05208483,0.0,11.05208483
0x9FFC31ec6D218B8365C84F04DF0c621F9438dC06,6.930824781,0.0,6.930824781
0x9F21793C4639116e6713AAa6DFe802507594AB8e,5.011174952,0.0,5.011174952
0x9Fb1a1a98F995b2B3362a1238De1366BFa790006,0.0,2.57663591290664,2.57663591290664
0x9F37832fD555BFcCE14d6A4555e5d0880e5eCd8e,0.0,2.3077422811770063,2.3077422811770063
0x9F737c44dfb34770F05d941F31d64fE9A6a96351,0.0,1.863098958333333,1.863098958333333
0x9FF95c30c4f4D6e706d0fFfBE61FD726a440a7E7,1.5090911136390197,0.0,1.5090911136390197
0x9f05f97244B66ca8092517dce3fECC5157D4AF49,1.1,0.0,1.1
0x9F3C2921BFABD3bc77959c25c52d32a43ab80d27,0.0,1.0225256106685652,1.0225256106685652
0x9f7Ce792d0ee09a6ce89eC2B9B236A44B0aCf73e,1.0,0.0,1.0
0x9Fcf836b92e81D201B85ED6d1793Db48645E3Ee4,0.993737576,0.0,0.993737576
0x9F9E6637171125d48D893Fa416Cf9b3B57b6D23E,0.931360351,0.0,0.931360351
0x9Ff49Dc51787F49ad7067912E4AB5547FeF7118e,0.894154932,0.0,0.894154932
0x9Fd3d439e98547dA997EAa99bd0bb14C9205d7E0,0.877613173,0.0,0.877613173
0x9f2dcA2ee3a3CE1105323f077c73Fef75c73eB2A,0.86470813,0.0,0.86470813
0x9fBD34Cd149857bB43d7f6f3A3Bb8468627EFa01,0.846080594,0.0,0.846080594
0x9fFF639Bf06409D75f0d3ca5Bf5a82a3592d0F17,0.841588247,0.0,0.841588247
0x9f07353eF3c12469e66E3000478D674629b00D9c,0.830070424,0.0,0.830070424
0x9F3498bECC595E7862212F51D9C3ae6696ea6eF2,0.828574647,0.0,0.828574647
0x9f25e384550D36fd26c676Cf838Cb46c3518Ac58,0.810329072,0.0,0.810329072
0x9ffEE1161Aa66270C2fACEbD7486D6B4F5437C15,0.800961774,0.0,0.800961774
0x9F6a4e1aa42e0d91d4be4D3738F0d25E13d63896,0.791566237,0.0,0.791566237
0x9FcA5df47E18Edbc6981FE214D13C13b06Cc8608,0.786553499,0.0,0.786553499
0x9f03436D54E14661826AD022a48A31c27B89189d,0.755968976,0.0,0.755968976
0x9f79EA5Dd56C50945fc968385Da98B359c27D811,0.745180805,0.0,0.745180805
0x9FE1826E10Ec727C955DD62057f8C1048d229373,0.745086277,0.0,0.745086277
0x9F79ED341C26888b17ec4aD581cE2D330bdDed2b,0.73707418,0.0,0.73707418
0x9F8DE9c74541EaD06291563123b7926BB8AB6017,0.733149254,0.0,0.733149254
0x9fe892BdeD87d0F20Bab6056d3f03EDa68BB7405,0.721625754,0.0,0.721625754
0x9F124C24Ba4D2112cFcB3465Ae9d213cBb71F623,0.697683898,0.0,0.697683898
0x9F5Df8725b1Ca97626dC2BDBd86d8970d3fa3caF,0.694003081,0.0,0.694003081
0x9F96312ca37dA80dB83F40E6c98b0e269fB50D15,0.692413471,0.0,0.692413471
0x9F151a0dA78d5D997Af175b38C6195eDC45AfE94,0.684683215,0.0,0.684683215
0x9f1500FDc4c4B7D3661CaA0D866B5924b25b221d,0.682849265,0.0,0.682849265
0x9fD8d823Bf53A00d6D62B8B63DdF1f301fD85c41,0.680467201,0.0,0.680467201
0x9F296a04cdfC2A9b5c1EB54F15C0dEbA4beE5696,0.655527409,0.0,0.655527409
0x9fBc99D1D9dCe404871B3933Ee760172F30d50f9,0.652357101,0.0,0.652357101
