Address,ETH_Balance,WETH_Balance,Total_Balance
0x465E56cD21ad47d4d4790F17de5E0458F20C3719,0.0,334.10538260741896,334.10538260741896
0x46199cAa0e453971cedf97f926368d9E5415831a,171.54832253145503,0.0,171.54832253145503
0x464BD7e6718a815c20a5AD529003d7a93a9676B3,0.0,92.78517228730192,92.78517228730192
0x468f873E7Ba0907e2DEE2f61d011a3d311178706,78.1695,8.749254010895267,86.91875401089527
0x46077fccD46bC963d32456f931C13324786F8baB,0.0,74.02478722713907,74.02478722713907
0x469Cae15C763595818CF3cF5D79B73ABb8ed3733,20.290335408,0.0,20.290335408
0x4633aFa7C69379Ba09912A42b7E59388Af596081,0.0,18.775497432826192,18.775497432826192
0x464F998Cdb6F179e45F7221b31381788f12B9c31,9.017297661094826,0.0,9.017297661094826
0x463Cf9053deA201414B51d9018d809874702e3B5,7.330779621,0.0,7.330779621
0x4655855833e06f875268ea8B80Bd77ADF8483E5d,4.0,0.0,4.0
0x4601cD8C568C92f9309B77086dfdA3eCc58DFD82,0.0,3.7166330861961647,3.7166330861961647
0x46569a57f5ff62B7012232E97279Fcb562fb755B,0.0,2.3589459620241677,2.3589459620241677
0x462D906E9143F85d235F8e50Ee5e5E5813E96c14,2.1107519291286665,0.0,2.1107519291286665
0x46228353c424C9d030D04117b5e08C57035366f3,0.0,2.0342217872037693,2.0342217872037693
0x461180b3B8D2Ef6F783c0888c08F3FC5bEde33c7,1.709366213337552,0.0,1.709366213337552
0x46eA1992a2b421b643d47AA22Cf821aF72f571D6,1.6468519589193273,0.0,1.6468519589193273
0x46eD887844c0ca62fe067682Ec74720Bb0dda87d,1.565128611,0.0,1.565128611
0x4663DF344CCc2dc54a332f5C27C008D766773856,0.0,1.483584314926186,1.483584314926186
0x461D7239a28f42e24f31b076c2f4845d880EF5b4,1.419013126835718,0.0,1.419013126835718
0x466B85B49EC0c5C1eB402d5EA3C4b88864Ea0f04,1.0,0.0,1.0
0x46ef0071b1E2fF6B42d36e5A177EA43Ae5917f4E,1.0,0.0,1.0
0x46EE50B09A21168DDEB273125061D2473011a473,0.984970861,0.0,0.984970861
0x46D812B5e5378289775b33Fd8CdC84b38c7E2f4f,0.970636676,0.0,0.970636676
0x46e347bE2B4493Ec5a2247CBF6a77b451687Bd46,0.898365049,0.0,0.898365049
0x46720b3D63e38583D8F6d77d52C52dF32604ef4B,0.0,0.897411340207869,0.897411340207869
0x469432ebB457a52aF01133e328626818A97a8D2f,0.892771681,0.0,0.892771681
0x46D27322cE5279958225CbfCc8A72E2112F190Fc,0.882946081,0.0,0.882946081
0x461288D31D9e23422b186f363f859A47f9750BFC,0.862908524,0.0,0.862908524
0x46728EFE169867F64C7B369fBca42Dd8175943a7,0.856614794,0.0,0.856614794
0x4694A13e15465b84950A7cbFDab05b0eFe497561,0.852490406,0.0,0.852490406
0x4692Ef770b3adfAf4e39279B22C5a01079153Dc5,0.850638504,0.0,0.850638504
0x4635Bc0622d2d859c69039D6bFCaA3b17aEBc75B,0.850254647,0.0,0.850254647
0x46E9e53C61Fd8478bA92dC2A9520540F05713F25,0.840056341,0.0,0.840056341
0x4613111ECe7F0B8Cf1641Adc08C756EF2333B735,0.833650839,0.0,0.833650839
0x4650a857BaC0bCf5C58606f4A825566fB33DDF79,0.799367142,0.0,0.799367142
0x4687BE3CDD9B3e9236e73237b78f6d59c6300941,0.792255825,0.0,0.792255825
0x46a6c8333505fb778CA0D8b60e0bd49d065D35f2,0.7797037379322136,0.0,0.7797037379322136
0x46c0385434a86E60Bd5b9BdeBB7c5dF4e3400877,0.773501885,0.0,0.773501885
0x46AaccD3CA4ee499886956732221d3D08B9085bC,0.756459299,0.0,0.756459299
0x465D69f01c6226f8906Ad2Cdc0D97168748658Ab,0.747953483,0.0,0.747953483
0x4690BC96438eb2b53Ef2344f1baD301542CD153c,0.741647209,0.0,0.741647209
0x46A055C3686C860f49C1C84252952d10820BE217,0.739155839,0.0,0.739155839
0x460Dc90CCBACAC0892C546c7389B1D1a64AEF140,0.738679782,0.0,0.738679782
0x46134F769292aA8cacbD1830B61cF43269540BD3,0.730555065,0.0,0.730555065
0x466dc83D19CE5E9eD65Ba49e7A6A6AF2B97BDd9c,0.729456713,0.0,0.729456713
0x4668Df71286f89812eA70Ff976441db1539b093d,0.724751056,0.0,0.724751056
0x46985131f82EB10b8a35CbBFb279Af4dB3304923,0.0,0.7236887439747286,0.7236887439747286
0x462D454C36C6E45307ACA995aebAABd8fec7bb2e,0.722380406,0.0,0.722380406
0x4605Db5915D1043bA118be0cE461dD05c495013B,0.713334993,0.0,0.713334993
0x4631f924Ea1B03C86C0830732140739331074990,0.712433824,0.0,0.712433824
0x46b5CA9842b3152863E60234179Ac2588554Fe33,0.709321107,0.0,0.709321107
0x46a36FDACd1435A46CD177228008e2608C9F7129,0.702149889,0.0,0.702149889
0x468AD32eEa1535a4d0B960C33Ccc012700acEa15,0.694791389,0.0,0.694791389
0x46A46249582feb5091E37e5baEd6d3ABb82F7b10,0.6947421462247887,0.0,0.6947421462247887
0x462060ED9e0E64C5535f475031A835611E3005B0,0.683353615,0.0,0.683353615
0x4635978796C87d2f49013c82a312B069De21F79c,0.681656214,0.0,0.681656214
0x467aA14C55c811cA26CC0CA79144044828bF444D,0.678690614,0.0,0.678690614
0x46cbEB6181728F239B7843a32784943C0918597B,0.675022869,0.0,0.675022869
0x463d60d33dc78f2DA0bcf44Ac59E17c642d8d790,0.669429051,0.0,0.669429051
0x4676cb21973a1Fe109C124cd2f2EAd7876C26676,0.669147813,0.0,0.669147813
0x465B4D9B67ef4D86b5097166137f53Fe36Ad0f7a,0.663626792,0.0,0.663626792
0x4618176ac759D26823523fdC6aE0937C5B352928,0.662548948,0.0,0.662548948
0x4683F96e7cd61C7A631cC38edbcce8FBeFfBD41c,0.654425722,0.0,0.654425722
0x464E9d14F326CDe664Ca18dEe205109ea8f5BCE5,0.653947701,0.0,0.653947701
0x463727022dFB4a72f21b4A473556E6a52c428585,0.6490886,0.0,0.6490886
0x46d7007b3C7bf78AF1C99465986103C188B63d10,0.647054273,0.0,0.647054273
0x4642438dCCCCA6836e3Bdca745a3e945d21AA220,0.646247414,0.0,0.646247414
0x460a9750D3027791A06D3bC02719Dca6F31eCB7C,0.63689022,0.0,0.63689022
0x4609E6098060DA64423e668bA95Ce537F917f019,0.626312551,0.0,0.626312551
0x464a5b5bd4738068e9B4187Da05C21aCe1fD19e5,0.604706732,0.0,0.604706732
0x4691Db30Eb851a9a440AD3da631f0c65F53c9780,0.600747247,0.0,0.600747247
0x4606887be86edF5bD47eEEAa0851864d9A70B07B,0.5997888136703775,0.0,0.5997888136703775
0x461c96C635d7a0B60d26fB5777B0f83910A61e61,0.593883636,0.0,0.593883636
0x46005bE93f6c2A21796DB1F258c9Bfc6d7Ba362b,0.59286211,0.0,0.59286211
0x46754e584Bd09Cba5b598BE0573a8f30aFDc214e,0.591893203,0.0,0.591893203
